valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.225,2016,0.701,['James Arthur'],0.311,208827,0.485,0,55Am8neGJkdj2ADaM3aw5H,0.0,6,0.0726,-5.726,0,Train Wreck,88,2016-10-28,0.0365,77.355
0.29100000000000004,2016,0.0689,['Post Malone'],0.556,223347,0.5379999999999999,1,75ZvA4QfFiZvzhj2xkaWAh,0.0,8,0.196,-5.4079999999999995,0,I Fall Apart,83,2016-12-09,0.0382,143.95
0.488,2016,0.245,['Ricky Montgomery'],0.639,216880,0.526,0,0MF5QHFzTUM2dYm6J7Vngt,2.4299999999999998e-05,0,0.25,-6.697,1,Mr Loverman,82,2016-04-08,0.0256,130.033
0.494,2016,0.695,['James Arthur'],0.358,211467,0.557,0,5uCax9HTNlzGybIStD3vDh,0.0,10,0.0902,-7.398,1,Say You Won't Let Go,86,2016-10-28,0.059000000000000004,85.04299999999998
0.5720000000000001,2016,0.16699999999999998,['Childish Gambino'],0.743,326933,0.34700000000000003,1,0wXuerDYiBnERgIpbb3JBR,0.00951,1,0.10300000000000001,-11.174000000000001,1,Redbone,82,2016-12-02,0.121,160.143
0.4920000000000001,2016,0.215,"['Post Malone', 'Quavo']",0.63,220293,0.804,1,3a1lNhkSLSkpJE4MSHpDu9,0.0,6,0.253,-4.183,1,Congratulations,82,2016-12-09,0.0363,123.146
0.226,2016,0.787,['Post Malone'],0.41200000000000003,257267,0.22699999999999998,1,35r28RDot7nPE7y9K9H7l0,4.69e-06,0,0.282,-12.696,1,Feeling Whitney,80,2016-12-09,0.0359,80.111
0.5660000000000001,2016,0.613,['The Lumineers'],0.664,160097,0.573,0,3d8y0t70g7hw2FOWl9Z4Fm,0.000363,5,0.0857,-6.519,1,Ophelia,74,2016-04-08,0.0277,76.023
0.486,2016,0.141,"['The Weeknd', 'Daft Punk']",0.679,230453,0.5870000000000001,1,7MXVkk9YMctZqd1Srtv4MB,6.35e-06,7,0.13699999999999998,-7.015,1,Starboy,83,2016-11-25,0.276,186.003
0.423,2016,0.42,['Frank Ocean'],0.466,307151,0.5479999999999999,1,7eqoqGkKwgOaWNNHx90uEZ,1.01e-06,5,0.113,-9.362,0,Nights,79,2016-08-20,0.11800000000000001,89.815
0.6609999999999999,2016,0.414,"['The Chainsmokers', 'Halsey']",0.748,244960,0.524,0,7BKLCZ1jbUBVqRi2FVlTVw,0.0,8,0.111,-5.599,1,Closer,84,2016-07-29,0.0338,95.01
0.452,2016,0.782,['Frank Ocean'],0.5670000000000001,249191,0.38799999999999996,1,2ZWlPOoWh0626oTaHrnl2a,0.000309,9,0.248,-9.579,0,Ivy,78,2016-08-20,0.0384,116.36200000000001
0.5539999999999999,2016,0.67,['Frank Ocean'],0.544,184516,0.552,0,3xKsf9qdS1CyvXSMEid6g8,4.57e-05,9,0.415,-7.45,1,Pink + White,79,2016-08-20,0.0991,159.738
0.507,2016,0.262,['Ricky Montgomery'],0.4320000000000001,249587,0.652,0,5jvgec3P4jyoZUPTy2pWDR,0.0,8,0.258,-4.968999999999999,1,Line Without a Hook,78,2016-04-08,0.0285,190.028
0.687,2016,0.00898,"['Kane Brown', 'Lauren Alaina']",0.612,188253,0.799,0,7zVCrzzEJU7u24sbJPXA5W,0.0,10,0.172,-4.603,1,What Ifs (feat. Lauren Alaina),74,2016-12-02,0.0275,125.976
0.309,2016,0.233,['Post Malone'],0.675,256533,0.562,1,6eT7xZZlB2mwyzJ2sUKG6w,0.0,7,0.0816,-7.678,1,White Iverson,78,2016-12-09,0.0352,130.09799999999998
0.29600000000000004,2016,0.11,['Rihanna'],0.6709999999999999,191600,0.314,1,4pAl7FkDMNBsjykPXo91B3,0.0,5,0.0825,-8.091000000000001,0,Needed Me,79,2016-01-28,0.244,110.898
0.86,2016,0.013000000000000001,['Bruno Mars'],0.853,206693,0.56,0,0KKkJNfGyhkQ5aFogxQAPU,0.0,1,0.0944,-4.961,1,That's What I Like,81,2016-11-17,0.0406,134.066
0.127,2016,0.228,['Post Malone'],0.665,179613,0.498,1,5yuShbu70mtHXY0yLzCQLQ,0.0,5,0.0757,-8.185,1,Go Flex,78,2016-12-09,0.0832,81.96700000000001
0.478,2016,0.0541,['Lil Uzi Vert'],0.795,198944,0.568,1,0B8QzDH7YWih85V5SEMnyJ,0.0,5,0.10800000000000001,-7.817,0,Money Longer,75,2016-05-27,0.142,136.173
0.23,2016,0.0312,"['Rob $tone', 'J. Davi$', 'Spooks']",0.8859999999999999,177184,0.4270000000000001,1,5uDASfU19gDxSjW8cnCaBp,0.00099,6,0.0906,-10.027999999999999,1,Chill Bill (feat. J. Davi$ & Spooks),78,2016-06-17,0.145,108.03399999999999
