valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.4370000000000001,2017,0.469,['XXXTENTACION'],0.872,119133,0.391,1,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0,0.297,-9.144,0,Jocelyn Flores,87,2017-08-25,0.242,134.02100000000002
0.7829999999999999,2017,0.109,['Lil Uzi Vert'],0.773,220587,0.75,1,0uxSUdBrJy9Un0EYoBowng,0.0,8,0.174,-4.0089999999999995,0,20 Min,83,2017-11-17,0.11699999999999999,123.426
0.32899999999999996,2017,0.0172,"['XXXTENTACION', 'Trippie Redd']",0.797,146520,0.5329999999999999,1,7AQim7LbvFVZJE3O8TYgf2,0.000152,0,0.10300000000000001,-9.74,0,Fuck Love (feat. Trippie Redd),84,2017-08-25,0.0412,131.036
0.6890000000000001,2017,0.847,['XXXTENTACION'],0.7340000000000001,95467,0.57,1,3GVkPk8mqxz0itaAriG1L7,2.14e-05,7,0.11199999999999999,-7.066,0,Everybody Dies In Their Nightmares,85,2017-08-25,0.133,129.953
0.401,2017,0.00264,['Lil Uzi Vert'],0.732,182707,0.75,1,7GX5flRQZVHRAGd6B4TmDO,0.0,11,0.109,-6.3660000000000005,0,XO Tour Llif3,84,2017-08-25,0.231,155.096
0.473,2017,0.8740000000000001,['Frank Ocean'],0.7759999999999999,210285,0.503,1,6Nle9hKrkL1wQpwNfEkxjh,0.0,0,0.11199999999999999,-5.732,0,Chanel,81,2017-03-10,0.237,110.134
0.33299999999999996,2017,0.149,"['Offset', 'Metro Boomin']",0.88,172800,0.428,1,7sO5G9EABYOXQKNPNiE9NR,5.07e-05,9,0.114,-8.28,1,Ric Flair Drip (& Metro Boomin),81,2017-10-30,0.20600000000000002,100.007
0.625,2017,0.013000000000000001,['Luke Combs'],0.551,240760,0.8009999999999999,0,1mMLMZYXkMueg65jRRWG1l,6.03e-06,6,0.265,-5.069,1,When It Rains It Pours,78,2017-06-02,0.0303,128.02700000000002
0.62,2017,0.371,"['Tyler, The Creator', 'Kali Uchis']",0.5579999999999999,180387,0.5589999999999999,1,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222000000000001,1,See You Again (feat. Kali Uchis),80,2017-07-21,0.0959,78.558
0.515,2017,0.0153,['Luke Combs'],0.46399999999999997,222533,0.813,0,6xHI9KjUjYT0FPtGO8Mxa1,0.0,10,0.254,-6.185,1,Hurricane,77,2017-06-02,0.0416,75.977
0.695,2017,0.593,['Clairo'],0.93,178352,0.611,0,0KyAGiNGUytG5JLxJu4F6l,0.00124,0,0.0592,-4.4060000000000015,1,Pretty Girl,80,2017-08-04,0.0415,112.12700000000001
