valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.303,2020,0.23199999999999998,['The Kid LAROI'],0.7190000000000001,126521,0.598,0,5psEZhQu6lukjhavJo4AbC,0.0,9,0.115,-6.254,1,SO DONE,87,2020-10-23,0.077,142.592
0.45299999999999996,2020,0.00981,['Don Toliver'],0.629,167916,0.6920000000000001,1,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,86,2020-03-13,0.0376,162.94799999999995
0.28600000000000003,2020,0.0221,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",0.49,201600,0.618,1,1H7KnK26kc1YyellpbINEn,3.77e-06,1,0.259,-5.655,1,The Woo (feat. 50 Cent & Roddy Ricch),87,2020-07-03,0.10400000000000001,99.7
0.325,2020,0.0978,"['Big Sean', 'Post Malone']",0.7240000000000001,199758,0.675,1,33gwZOGJWEZ7dRWPqPxBEZ,9.41e-06,2,0.35100000000000003,-5.267,1,Wolves (feat. Post Malone),85,2020-09-04,0.0867,160.048
0.522,2020,0.157,"['The Kid LAROI', 'Juice WRLD']",0.48700000000000004,181688,0.74,1,2rPHUAeUPbNgTmK18FPTiZ,0.0,6,0.612,-4.973,1,GO (feat. Juice WRLD),83,2020-07-24,0.0944,73.779
0.5329999999999999,2020,0.149,['Polo G'],0.7829999999999999,163798,0.479,1,3JKgcAa7r07ocVWcV8bS0H,0.0,7,0.10099999999999999,-10.645999999999999,1,21,84,2020-05-15,0.541,176.02700000000004
0.46399999999999997,2020,0.08,['Ariana Grande'],0.7190000000000001,149900,0.607,1,7Dx9Z6Aon1qPS2N0rHSWTe,0.0,8,0.125,-5.1560000000000015,1,just like magic,85,2020-10-30,0.165,128.006
0.905,2020,0.168,"['Joel Corry', 'MNEK']",0.7340000000000001,166028,0.8740000000000001,0,6cx06DFPPHchuUAcTxznu9,1.1400000000000001e-05,8,0.0489,-3.158,1,Head & Heart (feat. MNEK),94,2020-07-03,0.0662,122.95299999999999
0.647,2020,0.29100000000000004,"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",0.701,160212,0.65,1,0ada5XsQGLPUVbmTCkAP49,0.0,6,0.11199999999999999,-6.313,1,Hate The Other Side (with Marshmello & The Kid Laroi),84,2020-07-10,0.10400000000000001,90.00299999999999
0.225,2020,0.0417,['Juice WRLD'],0.706,242181,0.625,1,5dOxHHMOFAbG3VH23t0xNm,0.0,0,0.129,-7.426,1,Righteous,84,2020-07-10,0.0314,142.94799999999995
0.161,2020,0.114,"['Gunna', 'Young Thug']",0.825,197760,0.45799999999999996,1,3nS9a01VvXHQriLqJYwRqG,0.0,0,0.102,-7.47,1,DOLLAZ ON MY HEAD (feat. Young Thug),83,2020-05-22,0.0577,145.115
0.574,2020,0.601,['Morgan Wallen'],0.621,216573,0.882,0,0eBXyY4SatzpE7opnzgXvz,0.0,6,0.132,-5.01,1,More Than My Hometown,81,2020-04-17,0.0459,126.014
0.685,2020,0.125,['blackbear'],0.782,188344,0.5589999999999999,1,2mt1IqcFyY1zmYZT8Q3xw9,0.0,6,0.385,-7.106,0,hot girl bummer,86,2020-08-21,0.0767,129.99200000000002
0.7609999999999999,2020,0.23399999999999999,"['Jawsh 685', 'Jason Derulo']",0.767,171375,0.48100000000000004,1,1xQ6trAsedVPCdbtDAmk0c,0.0,0,0.26899999999999996,-8.52,0,Savage Love (Laxed - Siren Beat),91,2020-06-11,0.0803,150.076
0.382,2020,0.519,"['Ariana Grande', 'The Weeknd']",0.41100000000000003,239949,0.522,0,7E1jVNoWuemqUryI4FxsVD,0.0,0,0.39799999999999996,-7.295,1,off the table (with The Weeknd),85,2020-10-30,0.0981,88.33200000000002
0.195,2020,0.00815,['Pop Smoke'],0.688,164580,0.647,1,25zlnOAzbVoOzIeXSvQFf1,1.65e-05,2,0.095,-7.257999999999999,1,Got It On Me,85,2020-07-03,0.19,88.834
0.564,2020,0.135,"['Lil Baby', '42 Dugg']",0.9259999999999999,181929,0.542,1,6gxKUmycQX7uyMwJcweFjp,0.0,1,0.0877,-5.064,1,We Paid (feat. 42 Dugg),82,2020-05-01,0.293,135.14
0.349,2020,0.207,['Lil Mosey'],0.774,162547,0.5539999999999999,1,6wJYhPfqk3KGhHRG76WzOh,0.0,0,0.132,-7.909,1,Blueberry Faygo,84,2020-02-07,0.0383,99.03399999999999
0.45,2020,0.0069099999999999995,['BTS'],0.5660000000000001,207481,0.716,0,249gnXrbfmV8NG6jTEMSwD,0.0,1,0.37,-5.733,1,Life Goes On,90,2020-11-20,0.0424,81.068
0.8,2020,0.294,['Lee Brice'],0.643,188893,0.79,0,14GwnOeC9qYEKEA6uOZepa,0.0,4,0.107,-6.079,1,One Of Them Girls,80,2020-04-10,0.0462,95.98700000000001
0.826,2020,0.017,['Jack Harlow'],0.9229999999999999,139741,0.604,1,1jaTQ3nqY3oAAYyCTbIvnM,0.0,11,0.272,-6.671,0,WHATS POPPIN,84,2020-03-13,0.245,145.062
0.45899999999999996,2020,0.146,"['Money Man', 'Lil Baby']",0.868,182857,0.638,1,7v96VvFLS0wSYT8kewNLRy,0.0565,2,0.0931,-7.746,1,24 (feat. Lil Baby),82,2020-08-14,0.0736,126.03
0.753,2020,0.0332,['Jason Derulo'],0.789,190306,0.711,0,59qrUpoplZxbIZxk6X0Bm3,0.0,2,0.0876,-4.248,1,Take You Dancing,92,2020-07-22,0.040999999999999995,112.985
0.0916,2020,0.0703,"['Ariana Grande', 'Ty Dolla $ign']",0.552,208457,0.599,0,14gkWVFMwdxBMyqBw1wmIg,0.0,1,0.0986,-5.75,0,safety net (feat. Ty Dolla $ign),84,2020-10-30,0.0404,161.884
0.39299999999999996,2020,0.00536,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",0.5710000000000001,232253,0.693,0,0EhpEsp4L0oRGM0vmeaN5e,0.0,6,0.17300000000000001,-8.234,0,UN DIA (ONE DAY) (Feat. Tainy),92,2020-07-24,0.0545,168.169
0.387,2020,0.0421,"['Future', 'Lil Uzi Vert']",0.752,213520,0.6579999999999999,1,0k7wmahjkn389wAZdz19Cv,0.0,0,0.0927,-6.2970000000000015,1,Drankin N Smokin,80,2020-11-13,0.342,151.951
0.57,2020,0.17600000000000002,['Juice WRLD'],0.747,181661,0.622,1,4K06PO78fW4mnBVenxGNob,0.0,11,0.151,-5.825,1,Conversations,82,2020-07-10,0.0838,159.93
0.547,2020,0.00671,"['Travis Scott', 'Young Thug', 'M.I.A.']",0.835,202795,0.6990000000000001,1,4jVBIpuOiMj1crqd8LoCrJ,0.0,8,0.195,-5.405,0,FRANCHISE (feat. Young Thug & M.I.A.),85,2020-09-25,0.27699999999999997,154.981
0.298,2020,0.147,"['Rod Wave', 'Lil Baby']",0.8740000000000001,235988,0.44299999999999995,1,0qJeyYAgv6UpvewUxRXAhb,0.0,5,0.124,-9.628,0,Rags2Riches 2 (feat. Lil Baby),81,2020-08-07,0.24100000000000002,118.00399999999999
0.456,2020,0.0814,['Ariana Grande'],0.772,200733,0.506,1,0sci7ppTZFm4mjcH3nu8yO,1.1e-05,6,0.182,-6.558,0,nasty,83,2020-10-30,0.139,127.89399999999999
0.22899999999999998,2020,0.0743,"['DJ Khaled', 'Drake']",0.695,218902,0.34299999999999997,1,35RJhm1pEovTBwnNR0zWad,1.04e-06,5,0.107,-10.798,1,GREECE (feat. Drake),87,2020-07-16,0.0432,85.84
0.322,2020,0.868,['Noah Cyrus'],0.708,156106,0.18600000000000005,0,6J2LdBN97cDWn0MLxYh9HB,0.0,9,0.0779,-8.953,0,July,85,2020-05-15,0.042,72.541
0.4,2020,0.0149,['King Von'],0.82,196180,0.5920000000000001,1,7fEoXCZTZFosUFvFQg1BmW,4.71e-06,1,0.121,-7.0020000000000024,1,Took Her To The O,81,2020-03-06,0.29,159.98
0.306,2020,0.22399999999999998,"['Juice WRLD', 'The Weeknd']",0.6940000000000001,196180,0.685,1,6wQlQrTY5mVS8EGaFZVwVF,0.0,6,0.124,-6.535,0,Smile (with The Weeknd),84,2020-07-10,0.133,158.83100000000005
0.599,2020,0.8009999999999999,['Ariana Grande'],0.499,157710,0.462,1,3ko9jEHNt4O5fjKN65ULJp,0.0,0,0.0946,-5.308,1,shut up,83,2020-10-30,0.0312,127.698
0.698,2020,0.0183,['AJR'],0.74,170858,0.516,0,53BHUFdQphHiZUUG3nx9zn,0.0,1,0.0558,-6.233,0,Bang!,78,2020-02-12,0.0507,139.918
0.537,2020,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0.0,8,0.382,-6.6579999999999995,1,Stuck with U (with Justin Bieber),89,2020-05-08,0.0418,178.765
0.508,2020,0.0706,"['Future', 'Drake']",0.6759999999999999,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2,0.152,-5.831,0,Life Is Good (feat. Drake),85,2020-01-10,0.48100000000000004,142.037
0.35,2020,0.0538,"['Polo G', 'Juice WRLD']",0.752,163902,0.6729999999999999,1,2QqJTIlGKRLJC3onkavYEz,0.0,10,0.133,-5.7920000000000025,0,Flex (feat. Juice WRLD),81,2020-05-15,0.153,164.00900000000001
0.8740000000000001,2020,0.00824,['Megan Thee Stallion'],0.821,154324,0.863,1,6WbTTAGKrQtCQvmc5BuYfh,0.0,6,0.0377,-3.159,1,Girls in the Hood,81,2020-06-26,0.353,180.013
0.773,2020,0.535,['YoungBoy Never Broke Again'],0.877,151249,0.607,1,1SF8piqsZWn86DajVKih8F,0.0,10,0.138,-7.818,0,Kacey Talk,80,2020-09-11,0.15,127.055
0.8370000000000001,2020,0.12,['Lil Nas X'],0.81,154998,0.511,1,6zFMeegAMYQo0mt8rXtrli,0.0,5,0.0832,-6.9239999999999995,0,HOLIDAY,85,2020-11-13,0.16399999999999998,151.947
0.434,2020,0.67,['Ariana Grande'],0.7390000000000001,183874,0.516,1,2IKJtXeR5UsaUjZB46fTOK,0.0,0,0.151,-7.154,1,six thirty,83,2020-10-30,0.0539,120.109
0.8290000000000001,2020,0.145,"['Eminem', 'Juice WRLD']",0.8079999999999999,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0.0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),86,2020-01-17,0.342,165.995
0.715,2020,0.424,['salem ilese'],0.738,136839,0.621,0,7aGyRfJWtLqgJaZoG9lJhE,7.39e-06,0,0.6920000000000001,-7.313,1,Mad at Disney,88,2020-07-24,0.0486,113.96799999999999
0.132,2020,0.14,"['Ty Dolla $ign', 'Post Malone']",0.784,144028,0.496,1,5nWVyZaCwtfAkBnwDuXjBh,0.0,7,0.113,-5.746,1,Spicy (feat. Post Malone),83,2020-10-21,0.0435,100.00200000000001
