valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.6409999999999999,2019,0.598,['Clairo'],0.7440000000000001,188387,0.619,0,7B3z0ySL9Rr0XvZEAjWZzM,0.00372,0,0.231,-9.805,1,Sofia,90,2019-08-02,0.039,112.99700000000001
0.557,2019,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0,0.335,-4.209,1,Watermelon Sugar,94,2019-12-13,0.0465,95.39
0.578,2019,0.32799999999999996,['Juice WRLD'],0.685,240051,0.6920000000000001,1,6Hj9jySrnFppAI0sEMCZpJ,0.0,2,0.153,-5.122000000000001,1,Robbery,88,2019-03-08,0.0457,159.966
0.5529999999999999,2019,0.192,['Post Malone'],0.695,215280,0.762,0,21jGcNKet2qwijlDFuPiPb,0.00244,0,0.0863,-3.497,1,Circles,89,2019-09-06,0.0395,120.042
0.642,2019,0.10400000000000001,['Roddy Ricch'],0.8959999999999999,196653,0.586,1,0nbXyq5TXYPCO7pr3N8S4I,0.0,10,0.79,-6.687,0,The Box,89,2019-12-06,0.0559,116.971
0.894,2019,0.0149,"['SAINt JHN', 'Imanbek']",0.785,176219,0.721,1,2Wo6QQD1KMDWeFkkjLqwx5,0.00432,8,0.285,-5.4570000000000025,1,Roses - Imanbek Remix,80,2019-09-13,0.0506,121.962
0.64,2019,0.156,"['Wallows', 'Clairo']",0.682,178000,0.6829999999999999,0,57RA3JGafJm5zRtKJiKPIm,2.3199999999999998e-05,8,0.273,-6.444,0,Are You Bored Yet? (feat. Clairo),86,2019-03-22,0.0287,120.023
0.446,2019,0.7509999999999999,['Lewis Capaldi'],0.501,182161,0.405,0,7qEHsqek33rTcFNT9PFqLf,0.0,1,0.105,-5.678999999999999,1,Someone You Loved,91,2019-05-17,0.0319,109.891
0.604,2019,0.866,"['JP Saxe', 'Julia Michaels']",0.46399999999999997,208687,0.473,0,2kJwzbxV2ppxnQoYw4GLBZ,0.0,1,0.109,-10.086,1,If the World Was Ending - feat. Julia Michaels,87,2019-10-17,0.129,75.801
0.0605,2019,0.0546,['Travis Scott'],0.598,175721,0.4270000000000001,1,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7,0.21,-8.764,0,HIGHEST IN THE ROOM,88,2019-10-04,0.0317,76.469
